name,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,trait,group
Affenpinscher,22.86,29.21,3.17514659,4.535923700000001,12,15,0.6,0.6,0.6,0.8,1,Confident,Toy Group
Afghan Hound,63.5,68.58,22.6796185,27.2155422,12,15,0.8,0.2,0.8,0.2,0.2,Confident,Hound Group
Airedale Terrier,58.42,58.42,22.6796185,31.751465900000003,11,14,0.6,0.4,0.6,1,0.8,Friendly,Terrier Group
Akita,60.96,71.12,31.751465900000003,58.9670081,10,13,0.8,0.6,0.8,1,0.6,Courageous,Working Group
Alaskan Malamute,58.42,63.5,34.01942775,38.55535145,10,14,0.6,0.6,0.8,0.4,0.8,Sweet,Working Group
American Bulldog,50.8,63.5,27.2155422,45.359237,10,12,0.2,0.6,0.8,0.6,0.6,Loyal,Foundation Stock Service
American English Coonhound,58.42,66.04,20.41165665,29.48350405,11,12,0.2,0.4,0.8,0.6,0.6,Sweet,Hound Group
American Eskimo Dog,22.86,48.26,2.7215542200000002,15.875732950000002,13,15,0.4,0.6,0.8,1,1,Playful,Non-Sporting Group
American Foxhound,53.34,63.5,27.2155422,31.751465900000003,11,13,0.2,0.6,0.8,0.4,0.8,Independent,Hound Group
American Hairless Terrier,30.48,40.64,5.4431084400000005,7.25747792,14,16,0.2,0.2,0.6,1,0.6,Energetic,Terrier Group
American Leopard Hound,53.34,68.58,20.41165665,31.751465900000003,12,15,0.4,0.6,0.8,1,0.6,Friendly,Foundation Stock Service
American Staffordshire Terrier,43.18,48.26,18.143694800000002,31.751465900000003,12,16,0.2,0.4,0.6,0.6,0.6,Confident,Terrier Group
American Water Spaniel,38.1,45.72,11.33980925,20.41165665,10,14,0.6,0.2,0.6,1,0.8,Independent,Sporting Group
Anatolian Shepherd Dog,68.58,73.66,36.287389600000004,68.0388555,11,13,0.4,0.6,0.6,0.4,0.4,Loyal,Working Group
Appenzeller Sennenhund,48.26,55.88,21.772433760000002,31.751465900000003,12,15,0.4,0.8,1,0.2,0.4,Energetic,Foundation Stock Service
Australian Cattle Dog,43.18,50.8,15.875732950000002,22.6796185,12,16,0.2,0.8,1,0.2,0.4,Alert,Herding Group
Australian Kelpie,43.18,50.8,13,19,10,13,0.4,0.8,0.8,1,0.6,Loyal,Foundation Stock Service
Australian Shepherd,45.72,58.42,18.143694800000002,29.48350405,12,15,0.4,0.6,0.8,1,0.6,Smart,Herding Group
Australian Stumpy Tail Cattle Dog,43.18,50.8,14.51495584,20.41165665,12,15,0.4,0.4,0.8,0.8,0.6,Alert,Foundation Stock Service
Australian Terrier,25.4,27.94,6.80388555,9.071847400000001,11,15,0.4,0.2,0.8,0.6,0.8,Sweet,Terrier Group
Azawakh,59.69,73.66,14.968548210000002,24.947580350000003,12,15,0.4,0.4,0.6,0.4,0.8,Loyal,Hound Group
Barbet,48.26,62.230000000000004,15.875732950000002,29.48350405,12,14,0.4,0.2,0.6,0.6,0.8,Friendly,Sporting Group
Basenji,40.64,43.18,9.979032140000001,10.886216880000001,13,14,0.2,0.4,0.8,0.4,0.4,Independent,Hound Group
Basset Fauve de Bretagne,31.75,39.37,12.24699399,15.875732950000002,12,12,0.4,0.6,0.6,0.2,1,Smart,Foundation Stock Service
Basset Hound,38.1,38.1,18.143694800000002,29.48350405,12,13,0.6,0.4,0.2,0.4,0.8,Sweet,Hound Group
Bavarian Mountain Scent Hound,43.18,52.07,16.78291769,29.937096420000003,12,15,0.4,0.8,0.6,0.6,0.4,Loyal,Foundation Stock Service
Beagle,33.02,38.1,5.8967008100000005,13.6077711,10,15,0.6,0.6,0.8,0.6,0.8,Friendly,Hound Group
Bearded Collie,50.8,55.88,20.41165665,24.947580350000003,12,14,0.8,0.6,0.6,0.4,1,Smart,Herding Group
Beauceron,60.96,69.85,31.751465900000003,49.895160700000005,10,12,0.6,1,1,0.8,0.4,Gentle,Herding Group
Bedlington Terrier,38.1,44.45,7.71107029,10.43262451,11,16,0.6,0.6,0.8,0.6,0.6,Loyal,Terrier Group
Belgian Laekenois,55.88,66.04,24.947580350000003,29.48350405,10,12,0.4,0.8,0.8,0.8,0.4,Sweet,Miscellaneous Class
Belgian Malinois,55.88,66.04,18.143694800000002,36.287389600000004,14,16,0.4,0.6,0.8,0.8,0.4,Confident,Herding Group
Belgian Sheepdog,55.88,66.04,20.41165665,34.01942775,12,14,0.6,0.6,0.8,0.8,0.4,Smart,Herding Group
Belgian Tervuren,55.88,66.04,20.41165665,34.01942775,12,14,0.6,0.6,0.8,0.8,0.4,Courageous,Herding Group
Bergamasco Sheepdog,55.88,59.69,25.85476509,38.10175908,13,15,0.2,0.2,0.4,0.6,0.4,Independent,Herding Group
Berger Picard,54.61,64.77,22.6796185,31.751465900000003,12,13,0.2,0.6,1,0.8,0.6,Loyal,Herding Group
Bernese Mountain Dog,58.42,69.85,31.751465900000003,52.163122550000004,7,10,0.6,1,0.8,0.8,0.4,Gentle,Working Group
Bichon Frise,24.13,29.21,5.4431084400000005,8.164662660000001,14,15,1,0.2,0.6,0.6,1,Playful,Non-Sporting Group
Biewer Terrier,17.78,27.94,1.81436948,3.62873896,16,16,0.6,0.2,0.4,1,1,Smart,Miscellaneous Class
Black and Tan Coonhound,58.42,68.58,29.48350405,49.895160700000005,10,12,0.4,0.6,0.6,0.4,0.8,Friendly,Hound Group
Black Russian Terrier,66.04,76.2,36.287389600000004,58.9670081,10,12,0.8,0.6,0.8,0.8,0.4,Smart,Working Group
Bloodhound,58.42,68.58,36.287389600000004,49.895160700000005,10,12,0.4,0.6,0.6,0.4,0.6,Friendly,Hound Group
Bluetick Coonhound,53.34,68.58,20.41165665,36.287389600000004,11,12,0.4,0.6,0.8,0.6,0.8,Smart,Hound Group
Boerboel,55.88,68.58,68.0388555,90.718474,9,11,0.2,0.4,0.4,0.6,0.4,Confident,Working Group
Bohemian Shepherd,49.022000000000006,55.118,16.78291769,27.2155422,12,15,0.2,0.4,0.6,0.8,0.6,Friendly,Foundation Stock Service
Bolognese,25.4,30.48,2.4947580350000003,4.082331330000001,12,14,0.6,0.2,0.4,0.6,0.8,Playful,Foundation Stock Service
Border Collie,45.72,55.88,13.6077711,24.947580350000003,12,15,0.6,0.6,1,1,0.4,Sweet,Herding Group
Border Terrier,30.48,38.1,5.216312255,7.030681735,12,15,0.4,0.4,0.6,0.8,0.8,Sweet,Terrier Group
Borzoi,66.04,71.12,27.2155422,47.62719885,9,14,0.4,0.6,0.8,0.4,0.6,Sweet,Hound Group
Boston Terrier,38.1,43.18,5.4431084400000005,11.33980925,11,13,0.4,0.2,0.6,1,1,Friendly,Non-Sporting Group
Bouvier des Flandres,59.69,69.85,31.751465900000003,49.895160700000005,10,12,0.8,0.6,0.8,0.6,0.6,Sweet,Herding Group
Boxer,54.61,63.5,6.80388555,36.287389600000004,10,12,0.4,0.4,0.8,0.8,1,Smart,Working Group
Boykin Spaniel,35.56,45.72,11.33980925,18.143694800000002,10,15,0.6,0.6,0.6,1,0.6,Friendly,Sporting Group
Bracco Italiano,53.34,68.58,24.947580350000003,40.8233133,10,14,0.2,0.4,0.8,0.8,0.6,Sweet,Miscellaneous Class
Braque du Bourbonnais,48.26,57.15,15.875732950000002,24.04039561,10,12,0.2,0.2,0.6,1,0.6,Sweet,Foundation Stock Service
Braque Francais Pyrenean,46.99,58.42,18.143694800000002,24.947580350000003,12,14,0.2,0.6,1,0.6,0.6,Friendly,Foundation Stock Service
Briard,55.88,68.58,24.947580350000003,45.359237,12,12,0.8,0.2,0.6,0.4,0.4,Confident,Herding Group
Brittany,44.45,52.07,13.6077711,18.143694800000002,12,14,0.6,0.6,1,1,0.8,Smart,Sporting Group
Broholmer,69.85,74.93,40.8233133,68.0388555,8,10,0.2,0.6,0.4,0.6,0.4,Friendly,Foundation Stock Service
Brussels Griffon,17.78,25.4,3.62873896,4.535923700000001,12,15,0.6,0.6,0.6,0.6,0.8,Loyal,Toy Group
Bull Terrier,53.34,55.88,22.6796185,31.751465900000003,12,13,0.4,0.6,0.8,0.4,0.8,Playful,Terrier Group
Bulldog,35.56,38.1,18.143694800000002,22.6796185,8,10,0.6,0.8,0.6,0.6,0.8,Friendly,Non-Sporting Group
Bullmastiff,60.96,68.58,45.359237,58.9670081,7,9,0.2,0.6,0.8,0.6,0.6,Sweet,Working Group
Cairn Terrier,24.13,25.4,5.8967008100000005,6.35029318,13,15,0.4,0.4,0.6,0.6,0.8,Alert,Terrier Group
Canaan Dog,48.26,60.96,15.875732950000002,24.947580350000003,12,15,0.4,1,0.6,0.4,0.4,Confident,Herding Group
Cane Corso,59.69,69.85,41,50,9,12,0.2,0.4,0.8,0.6,0.6,Sweet,Working Group
Cardigan Welsh Corgi,26.67,31.75,11.33980925,17.23651006,12,15,0.4,0.6,0.8,0.6,0.6,Sweet,Herding Group
Carolina Dog,45.085,49.53,13.6077711,24.947580350000003,12,15,0.2,0.6,0.6,1,0.6,Loyal,Foundation Stock Service
Catahoula Leopard Dog,55.88,60.96,22.6796185,43.09127515,10,14,0.4,0.6,1,0.4,0.4,Loyal,Foundation Stock Service
Caucasian Shepherd Dog,58.42,76.2,44.905644630000005,77.1107029,10,12,0.6,0.8,0.4,0.4,0.2,Courageous,Foundation Stock Service
Cavalier King Charles Spaniel,30.48,33.02,5.8967008100000005,8.164662660000001,12,15,0.4,0.4,0.4,1,0.8,Sweet,Toy Group
Central Asian Shepherd Dog,64.77,69.85,39.916128560000004,49.895160700000005,12,15,0.2,0.6,0.4,0.4,0.2,Independent,Foundation Stock Service
Cesky Terrier,25.4,33.02,6.35029318,10.886216880000001,12,15,0.4,0.4,0.6,0.6,0.4,Smart,Terrier Group
Chesapeake Bay Retriever,53.34,66.04,24.947580350000003,36.287389600000004,10,13,0.6,0.8,0.8,0.6,0.4,Sweet,Sporting Group
Chihuahua,12.7,20.32,2.7215542200000002,2.7215542200000002,14,16,0.2,0.4,0.6,0.4,0.6,Sweet,Toy Group
Chinese Crested,27.94,33.02,3.62873896,5.4431084400000005,13,18,0.2,0.2,0.6,0.6,0.8,Sweet,Toy Group
Chinese Shar-Pei,45.72,50.8,20.41165665,27.2155422,8,12,0.2,0.8,0.6,0.2,0.4,Loyal,Non-Sporting Group
Chinook,55.88,66.04,22.6796185,40.8233133,12,15,0.4,0.6,0.8,1,0.8,Smart,Working Group
Chow Chow,43.18,50.8,20.41165665,31.751465900000003,8,12,0.6,0.6,0.6,0.2,0.4,Confident,Non-Sporting Group
Cirneco dell’Etna,41.910000000000004,49.53,7.71107029,11.793401620000001,12,14,0.2,0.2,0.6,0.6,0.6,Sweet,Hound Group
Clumber Spaniel,43.18,50.8,24.947580350000003,38.55535145,10,12,0.4,0.8,0.6,0.6,0.4,Mellow,Sporting Group
Cocker Spaniel,34.29,39.37,9.071847400000001,13.6077711,10,14,0.8,0.4,0.6,1,1,Gentle,Sporting Group
Collie,55.88,66.04,22.6796185,34.01942775,12,14,0.6,0.6,0.6,0.8,0.8,Loyal,Herding Group
Coton de Tulear,22.86,27.94,3.62873896,6.80388555,15,19,0.8,0.4,0.6,0.8,1,Sweet,Non-Sporting Group
Croatian Sheepdog,40.64,50.8,13.15417873,19.958064280000002,13,14,0.2,0.4,1,1,0.4,Loyal,Foundation Stock Service
Curly-Coated Retriever,58.42,68.58,27.2155422,43.09127515,10,12,0.2,0.4,0.8,0.4,0.4,Confident,Sporting Group
Czechoslovakian Vlcak,59.69,64.77,19.958064280000002,25.85476509,10,15,0.4,1,1,0.2,0.2,Loyal,Foundation Stock Service
Dachshund,12.7,22.86,4.9895160700000005,14.51495584,12,16,0.4,0.4,0.6,0.6,0.6,Friendly,Hound Group
Dalmatian,48.26,60.96,20.41165665,31.751465900000003,11,13,0.4,1,0.8,0.6,0.6,Confident,Non-Sporting Group
Dandie Dinmont Terrier,20.32,27.94,8.164662660000001,10.886216880000001,12,15,0.8,0.2,0.6,0.4,0.4,Independent,Terrier Group
Danish-Swedish Farmdog,31.75,36.83,6.80388555,9.071847400000001,11,13,0.2,0.4,0.8,0.8,0.4,Energetic,Foundation Stock Service
Deutscher Wachtelhund,45.72,53.34,18.143694800000002,24.947580350000003,12,14,0.4,0.4,0.6,0.8,0.6,Friendly,Foundation Stock Service
Doberman Pinscher,60.96,71.12,27.2155422,45.359237,10,12,0.2,0.8,1,1,0.6,Loyal,Working Group
Dogo Argentino,60.96,67.31,39.916128560000004,45.359237,9,15,0.2,0.2,1,1,0.4,Friendly,Working Group
Dogue de Bordeaux,58.42,66.04,44.905644630000005,49.895160700000005,5,8,0.2,0.8,0.6,0.6,0.6,Sweet,Working Group
Drentsche Patrijshond,53.34,63.5,21.772433760000002,33.11224301,11,14,0.4,0.8,0.8,0.6,0.4,Loyal,Foundation Stock Service
Drever,30.48,38.1,15.875732950000002,18.143694800000002,15,15,0.2,0.4,0.6,0.2,0.6,Loyal,Foundation Stock Service
Dutch Shepherd,54.61,62.230000000000004,19.05087954,34.01942775,11,14,0.4,0.6,1,0.6,0.6,Smart,Miscellaneous Class
English Cocker Spaniel,38.1,43.18,11.793401620000001,15.42214058,12,14,0.6,0.4,0.6,1,0.8,Energetic,Sporting Group
English Foxhound,60.96,60.96,27.2155422,34.01942775,10,13,0.2,0.8,0.8,0.6,0.8,Sweet,Hound Group
English Setter,58.42,68.58,20.41165665,36.287389600000004,12,12,0.6,0.8,0.8,0.8,0.8,Friendly,Sporting Group
English Springer Spaniel,48.26,50.8,18.143694800000002,22.6796185,12,14,0.4,0.4,0.6,1,0.8,Friendly,Sporting Group
English Toy Spaniel,22.86,25.4,3.62873896,6.35029318,10,12,0.6,0.6,0.6,0.4,0.6,Gentle,Toy Group
Entlebucher Mountain Dog,40.64,53.34,18.143694800000002,29.48350405,11,13,0.2,0.2,1,0.4,0.4,Loyal,Herding Group
Estrela Mountain Dog,62.230000000000004,73.66,34.926612490000004,59.874192840000006,10,14,0.4,0.6,0.4,0.8,0.2,Alert,Foundation Stock Service
Eurasier,48.26,60.96,18.143694800000002,31.751465900000003,12,16,0.6,0.6,0.6,0.6,0.4,Confident,Foundation Stock Service
Field Spaniel,43.18,45.72,15.875732950000002,22.6796185,12,13,0.4,0.8,0.6,0.6,0.4,Sweet,Sporting Group
Finnish Lapphund,40.64,53.34,14.968548210000002,24.04039561,12,15,0.4,0.6,0.6,1,0.4,Friendly,Herding Group
Finnish Spitz,39.37,50.8,9.071847400000001,14.968548210000002,13,15,0.4,0.6,1,0.6,0.8,Friendly,Non-Sporting Group
Flat-Coated Retriever,55.88,62.230000000000004,27.2155422,31.751465900000003,8,10,0.4,0.8,1,1,0.8,Friendly,Sporting Group
French Bulldog,27.94,33.02,12.70058636,12.70058636,10,12,0.2,0.8,0.4,0.6,0.6,Adaptable,Non-Sporting Group
French Spaniel,54.61,60.96,22.6796185,27.2155422,10,12,0.2,0.6,0.8,1,0.6,Gentle,Foundation Stock Service
German Longhaired Pointer,55.88,71.12,24.947580350000003,36.287389600000004,12,14,0.2,0.6,0.8,1,0.8,Adaptable,Foundation Stock Service
German Pinscher,43.18,50.8,11.33980925,20.41165665,12,14,0.2,0.4,1,0.6,0.6,Courageous,Working Group
German Shepherd Dog,55.88,66.04,22.6796185,40.8233133,7,10,0.4,0.8,0.6,1,0.6,Confident,Herding Group
German Shorthaired Pointer,53.34,63.5,20.41165665,31.751465900000003,10,12,0.4,0.8,1,1,0.8,Friendly,Sporting Group
German Spitz,30.48,38.1,10.886216880000001,11.793401620000001,13,15,0.6,0.6,0.6,1,0.4,Loyal,Foundation Stock Service
German Wirehaired Pointer,55.88,66.04,22.6796185,31.751465900000003,14,16,0.4,0.8,1,1,0.4,Sweet,Sporting Group
Giant Schnauzer,59.69,69.85,24.947580350000003,38.55535145,12,15,0.8,0.6,1,0.8,0.6,Loyal,Working Group
Glen of Imaal Terrier,31.75,35.56,14.51495584,18.143694800000002,10,15,0.6,0.4,0.6,0.4,0.6,Gentle,Terrier Group
Golden Retriever,54.61,60.96,24.947580350000003,34.01942775,10,12,0.4,0.6,1,1,0.8,Friendly,Sporting Group
Gordon Setter,58.42,68.58,20.41165665,36.287389600000004,12,13,0.4,0.6,1,0.4,0.4,Sweet,Sporting Group
Grand Basset Griffon Vendéen,39.37,45.72,18.143694800000002,20.41165665,13,15,0.4,0.6,1,0.4,0.8,Independent,Hound Group
Great Dane,71.12,81.28,49.895160700000005,79.37866475,7,10,0.2,0.6,0.8,0.6,0.6,Friendly,Working Group
Great Pyrenees,63.5,81.28,38.55535145,45.359237,10,12,0.4,0.6,1,0.4,0.4,Smart,Working Group
Greater Swiss Mountain Dog,59.69,72.39,38.55535145,63.502931800000006,8,11,0.4,0.6,0.8,0.6,0.6,Loyal,Working Group
Greyhound,68.58,76.2,27.2155422,31.751465900000003,10,13,0.2,0.4,0.8,0.4,0.8,Gentle,Hound Group
Hamiltonstovare,48.26,60.96,18.143694800000002,34.01942775,14,17,0.2,0.2,0.8,0.6,0.8,Energetic,Foundation Stock Service
Hanoverian Scenthound,48.26,53.34,35.83379723,44.905644630000005,10,14,0.2,0.2,0.6,0.4,0.4,Loyal,Foundation Stock Service
Harrier,48.26,53.34,20.41165665,27.2155422,12,15,0.4,0.4,1,0.8,0.8,Friendly,Hound Group
Havanese,21.59,29.21,3.17514659,5.8967008100000005,14,16,0.6,0.4,0.6,0.8,1,Smart,Toy Group
Hokkaido,45.72,50.8,19.958064280000002,29.937096420000003,12,15,0.4,0.6,0.8,0.8,0.2,Confident,Foundation Stock Service
Hovawart,58.42,71.12,29.48350405,40.8233133,10,14,0.2,0.6,0.6,0.2,0.4,Alert,Foundation Stock Service
Ibizan Hound,57.15,69.85,20.41165665,22.6796185,11,14,0.2,0.4,1,0.4,0.4,Sweet,Hound Group
Icelandic Sheepdog,41.910000000000004,45.72,11.33980925,13.6077711,12,14,0.4,0.6,0.8,1,0.8,Friendly,Herding Group
Irish Red and White Setter,57.15,66.04,15.875732950000002,27.2155422,11,15,0.4,0.4,1,0.8,0.8,Courageous,Sporting Group
Irish Setter,63.5,68.58,27.2155422,31.751465900000003,12,15,0.6,0.6,1,0.6,1,Energetic,Sporting Group
